id;title;source_url;video_url;content_text;published_date;content_type_id
1;Funny Cat Videos;https://www.youtube.com/funnycats;https://www.youtube.com/watch?v=abcd1234;Watch hilarious cat videos that will make you laugh out loud!;2023-06-20T13:50:15;1
2;Dance Challenge Compilation;https://www.tiktok.com/dancechallenges;https://www.tiktok.com/watch?v=efgh5678;Check out the latest dance challenge compilation on TikTok!;2023-06-20T15:15:30;1
3;Breaking News: Major Event Update;https://www.news.com/major-event-update;N/A;Get the latest updates on the major event happening worldwide.;2023-06-20T21:57:04;3
4;Top Travel Destinations;https://www.travelblogs.com/top-destinations;N/A;Discover the top travel destinations to add to your bucket list.;2023-06-20T07:55:17;4
5;Daily Horoscope: Gemini;https://www.horoscope.com/gemini;N/A;Read your daily horoscope for Gemini and get insights into your day.;2023-06-20T20:31:55;5
6;How-to Guide: YouTube Video Editing;https://www.youtube.com/videotutorials;https://www.youtube.com/watch?v=wxyz9876;Learn the basics of video editing for YouTube in this step-by-step guide.;2023-06-21T02:15:10;1
7;Current Affairs Analysis;https://www.news.com/current-affairs-analysis;N/A;Get an in-depth analysis of the current affairs shaping the world.;2023-06-21T06:22:28;3
8;Top Fashion Trends for Summer;https://www.fashionblogs.com/summer-trends;N/A;Explore the hottest fashion trends to stay stylish this summer.;2023-06-20T18:29:16;4
9;Expert Advice: Personal Finance Tips;https://www.financeblogs.com/personal-finance-tips;N/A;Get expert advice on managing your personal finances and saving money.;2023-06-20T18:10:21;4
10;Astrology Insights: Love Compatibility;https://www.horoscope.com/love-compatibility;N/A;Discover your love compatibility with other zodiac signs based on astrology.;2023-06-20T17:34:08;5
